"TIME","GEO","SPDEPS","UNIT","Value","Flag and Footnotes"
"2007","European Union (25 countries)","Total expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","European Union (25 countries)","Total expenditure","Million units of national currency",":",""
"2007","European Union (25 countries)","Total expenditure","Percentage of gross domestic product (GDP)","25.4","p"
"2007","European Union (25 countries)","Total expenditure","Percentage of total expenditure","100.00","p"
"2007","European Union (25 countries)","Social protection benefits","Million euro","3,112,999.64","p"
"2007","European Union (25 countries)","Social protection benefits","Million euro (at constant 2010 prices)",":",""
"2007","European Union (25 countries)","Social protection benefits","Euro per inhabitant","6,672.16","p"
"2007","European Union (25 countries)","Social protection benefits","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","European Union (25 countries)","Social protection benefits","Million units of national currency",":",""
"2007","European Union (25 countries)","Social protection benefits","Percentage of gross domestic product (GDP)","24.4","p"
"2007","European Union (25 countries)","Social protection benefits","Percentage of total expenditure","95.79","p"
"2007","European Union (25 countries)","Administration costs","Million euro","100,095.95","p"
"2007","European Union (25 countries)","Administration costs","Million euro (at constant 2010 prices)",":",""
"2007","European Union (25 countries)","Administration costs","Euro per inhabitant","214.54","p"
"2007","European Union (25 countries)","Administration costs","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","European Union (25 countries)","Administration costs","Million units of national currency",":",""
"2007","European Union (25 countries)","Administration costs","Percentage of gross domestic product (GDP)","0.8","p"
"2007","European Union (25 countries)","Administration costs","Percentage of total expenditure","3.08","p"
"2007","European Union (25 countries)","Other expenditure","Million euro","36,825.74","p"
"2007","European Union (25 countries)","Other expenditure","Million euro (at constant 2010 prices)",":",""
"2007","European Union (25 countries)","Other expenditure","Euro per inhabitant","78.93","p"
"2007","European Union (25 countries)","Other expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","European Union (25 countries)","Other expenditure","Million units of national currency",":",""
"2007","European Union (25 countries)","Other expenditure","Percentage of gross domestic product (GDP)","0.3","p"
"2007","European Union (25 countries)","Other expenditure","Percentage of total expenditure","1.13","p"
"2007","European Union (25 countries)","Sickness/Health care","Million euro","905,302.64","p"
"2007","European Union (25 countries)","Sickness/Health care","Million euro (at constant 2010 prices)",":",""
"2007","European Union (25 countries)","Sickness/Health care","Euro per inhabitant","1,940.35","p"
"2007","European Union (25 countries)","Sickness/Health care","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","European Union (25 countries)","Sickness/Health care","Million units of national currency",":",""
"2007","European Union (25 countries)","Sickness/Health care","Percentage of gross domestic product (GDP)","7.1","p"
"2007","European Union (25 countries)","Sickness/Health care","Percentage of total expenditure","27.86","p"
"2007","European Union (15 countries)","Total expenditure","Million euro","3,116,513.11","p"
"2007","European Union (15 countries)","Total expenditure","Million euro (at constant 2010 prices)","3,122,664.76","p"
"2007","European Union (15 countries)","Total expenditure","Euro per inhabitant","7,935.07","p"
"2007","European Union (15 countries)","Total expenditure","Euro per inhabitant (at constant 2010 prices)","7,950.74","p"
"2007","European Union (15 countries)","Total expenditure","Million units of national currency",":",""
"2007","European Union (15 countries)","Total expenditure","Percentage of gross domestic product (GDP)","25.9","p"
"2007","European Union (15 countries)","Total expenditure","Percentage of total expenditure","100.00","p"
"2007","European Union (15 countries)","Social protection benefits","Million euro","2,983,158.32","p"
"2007","European Union (15 countries)","Social protection benefits","Million euro (at constant 2010 prices)","2,989,046.75","p"
"2007","European Union (15 countries)","Social protection benefits","Euro per inhabitant","7,595.53","p"
"2007","European Union (15 countries)","Social protection benefits","Euro per inhabitant (at constant 2010 prices)","7,610.53","p"
"2007","European Union (15 countries)","Social protection benefits","Million units of national currency",":",""
"2007","European Union (15 countries)","Social protection benefits","Percentage of gross domestic product (GDP)","24.8","p"
"2007","European Union (15 countries)","Social protection benefits","Percentage of total expenditure","95.72","p"
"2007","European Union (15 countries)","Administration costs","Million euro","96,661.62","p"
"2007","European Union (15 countries)","Administration costs","Million euro (at constant 2010 prices)","96,852.42","p"
"2007","European Union (15 countries)","Administration costs","Euro per inhabitant","246.11","p"
"2007","European Union (15 countries)","Administration costs","Euro per inhabitant (at constant 2010 prices)","246.60","p"
"2007","European Union (15 countries)","Administration costs","Million units of national currency",":",""
"2007","European Union (15 countries)","Administration costs","Percentage of gross domestic product (GDP)","0.8","p"
"2007","European Union (15 countries)","Administration costs","Percentage of total expenditure","3.10","p"
"2007","European Union (15 countries)","Other expenditure","Million euro","36,693.17","p"
"2007","European Union (15 countries)","Other expenditure","Million euro (at constant 2010 prices)","36,765.60","p"
"2007","European Union (15 countries)","Other expenditure","Euro per inhabitant","93.43","p"
"2007","European Union (15 countries)","Other expenditure","Euro per inhabitant (at constant 2010 prices)","93.61","p"
"2007","European Union (15 countries)","Other expenditure","Million units of national currency",":",""
"2007","European Union (15 countries)","Other expenditure","Percentage of gross domestic product (GDP)","0.3","p"
"2007","European Union (15 countries)","Other expenditure","Percentage of total expenditure","1.18","p"
"2007","European Union (15 countries)","Sickness/Health care","Million euro","871,029.38","p"
"2007","European Union (15 countries)","Sickness/Health care","Million euro (at constant 2010 prices)","872,748.70","p"
"2007","European Union (15 countries)","Sickness/Health care","Euro per inhabitant","2,217.76","p"
"2007","European Union (15 countries)","Sickness/Health care","Euro per inhabitant (at constant 2010 prices)","2,222.14","p"
"2007","European Union (15 countries)","Sickness/Health care","Million units of national currency",":",""
"2007","European Union (15 countries)","Sickness/Health care","Percentage of gross domestic product (GDP)","7.2","p"
"2007","European Union (15 countries)","Sickness/Health care","Percentage of total expenditure","27.95","p"
"2007","Euro area (19 countries)","Total expenditure","Million euro","2,425,513.23","p"
"2007","Euro area (19 countries)","Total expenditure","Million euro (at constant 2010 prices)","2,523,212.00","p"
"2007","Euro area (19 countries)","Total expenditure","Euro per inhabitant","7,302.28","p"
"2007","Euro area (19 countries)","Total expenditure","Euro per inhabitant (at constant 2010 prices)","7,596.41","p"
"2007","Euro area (19 countries)","Total expenditure","Million units of national currency",":",""
"2007","Euro area (19 countries)","Total expenditure","Percentage of gross domestic product (GDP)","25.8","p"
"2007","Euro area (19 countries)","Total expenditure","Percentage of total expenditure","100.00","p"
"2007","Euro area (19 countries)","Social protection benefits","Million euro","2,315,693.24","p"
"2007","Euro area (19 countries)","Social protection benefits","Million euro (at constant 2010 prices)","2,408,968.50","p"
"2007","Euro area (19 countries)","Social protection benefits","Euro per inhabitant","6,971.65","p"
"2007","Euro area (19 countries)","Social protection benefits","Euro per inhabitant (at constant 2010 prices)","7,252.47","p"
"2007","Euro area (19 countries)","Social protection benefits","Million units of national currency",":",""
"2007","Euro area (19 countries)","Social protection benefits","Percentage of gross domestic product (GDP)","24.6","p"
"2007","Euro area (19 countries)","Social protection benefits","Percentage of total expenditure","95.47","p"
"2007","Euro area (19 countries)","Administration costs","Million euro","85,068.76","p"
"2007","Euro area (19 countries)","Administration costs","Million euro (at constant 2010 prices)","88,495.30","p"
"2007","Euro area (19 countries)","Administration costs","Euro per inhabitant","256.11","p"
"2007","Euro area (19 countries)","Administration costs","Euro per inhabitant (at constant 2010 prices)","266.42","p"
"2007","Euro area (19 countries)","Administration costs","Million units of national currency",":",""
"2007","Euro area (19 countries)","Administration costs","Percentage of gross domestic product (GDP)","0.9","p"
"2007","Euro area (19 countries)","Administration costs","Percentage of total expenditure","3.51","p"
"2007","Euro area (19 countries)","Other expenditure","Million euro","24,751.23","p"
"2007","Euro area (19 countries)","Other expenditure","Million euro (at constant 2010 prices)","25,748.20","p"
"2007","Euro area (19 countries)","Other expenditure","Euro per inhabitant","74.52","p"
"2007","Euro area (19 countries)","Other expenditure","Euro per inhabitant (at constant 2010 prices)","77.52","p"
"2007","Euro area (19 countries)","Other expenditure","Million units of national currency",":",""
"2007","Euro area (19 countries)","Other expenditure","Percentage of gross domestic product (GDP)","0.3","p"
"2007","Euro area (19 countries)","Other expenditure","Percentage of total expenditure","1.02","p"
"2007","Euro area (19 countries)","Sickness/Health care","Million euro","679,990.83","p"
"2007","Euro area (19 countries)","Sickness/Health care","Million euro (at constant 2010 prices)","707,380.60","p"
"2007","Euro area (19 countries)","Sickness/Health care","Euro per inhabitant","2,047.19","p"
"2007","Euro area (19 countries)","Sickness/Health care","Euro per inhabitant (at constant 2010 prices)","2,129.65","p"
"2007","Euro area (19 countries)","Sickness/Health care","Million units of national currency",":",""
"2007","Euro area (19 countries)","Sickness/Health care","Percentage of gross domestic product (GDP)","7.2","p"
"2007","Euro area (19 countries)","Sickness/Health care","Percentage of total expenditure","28.03","p"
"2007","Euro area (18 countries)","Total expenditure","Million euro","2,421,378.05","p"
"2007","Euro area (18 countries)","Total expenditure","Million euro (at constant 2010 prices)",":",""
"2007","Euro area (18 countries)","Total expenditure","Euro per inhabitant","7,361.44","p"
"2007","Euro area (18 countries)","Total expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","Euro area (18 countries)","Total expenditure","Million units of national currency",":",""
"2007","Euro area (18 countries)","Total expenditure","Percentage of gross domestic product (GDP)","25.8","p"
"2007","Euro area (18 countries)","Total expenditure","Percentage of total expenditure","100.00","p"
"2007","Euro area (18 countries)","Social protection benefits","Million euro","2,311,670.96","p"
"2007","Euro area (18 countries)","Social protection benefits","Million euro (at constant 2010 prices)",":",""
"2007","Euro area (18 countries)","Social protection benefits","Euro per inhabitant","7,027.91","p"
"2007","Euro area (18 countries)","Social protection benefits","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","Euro area (18 countries)","Social protection benefits","Million units of national currency",":",""
"2007","Euro area (18 countries)","Social protection benefits","Percentage of gross domestic product (GDP)","24.7","p"
"2007","Euro area (18 countries)","Social protection benefits","Percentage of total expenditure","95.47","p"
"2007","Euro area (18 countries)","Administration costs","Million euro","84,957.34","p"
"2007","Euro area (18 countries)","Administration costs","Million euro (at constant 2010 prices)",":",""
"2007","Euro area (18 countries)","Administration costs","Euro per inhabitant","258.29","p"
"2007","Euro area (18 countries)","Administration costs","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","Euro area (18 countries)","Administration costs","Million units of national currency",":",""
"2007","Euro area (18 countries)","Administration costs","Percentage of gross domestic product (GDP)","0.9","p"
"2007","Euro area (18 countries)","Administration costs","Percentage of total expenditure","3.51","p"
"2007","Euro area (18 countries)","Other expenditure","Million euro","24,749.76","p"
"2007","Euro area (18 countries)","Other expenditure","Million euro (at constant 2010 prices)",":",""
"2007","Euro area (18 countries)","Other expenditure","Euro per inhabitant","75.24","p"
"2007","Euro area (18 countries)","Other expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","Euro area (18 countries)","Other expenditure","Million units of national currency",":",""
"2007","Euro area (18 countries)","Other expenditure","Percentage of gross domestic product (GDP)","0.3","p"
"2007","Euro area (18 countries)","Other expenditure","Percentage of total expenditure","1.02","p"
"2007","Euro area (18 countries)","Sickness/Health care","Million euro","678,747.44","p"
"2007","Euro area (18 countries)","Sickness/Health care","Million euro (at constant 2010 prices)",":",""
"2007","Euro area (18 countries)","Sickness/Health care","Euro per inhabitant","2,063.52","p"
"2007","Euro area (18 countries)","Sickness/Health care","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","Euro area (18 countries)","Sickness/Health care","Million units of national currency",":",""
"2007","Euro area (18 countries)","Sickness/Health care","Percentage of gross domestic product (GDP)","7.2","p"
"2007","Euro area (18 countries)","Sickness/Health care","Percentage of total expenditure","28.03","p"
"2007","Euro area (17 countries)","Total expenditure","Million euro","2,418,973.30","p"
"2007","Euro area (17 countries)","Total expenditure","Million euro (at constant 2010 prices)",":",""
"2007","Euro area (17 countries)","Total expenditure","Euro per inhabitant","7,403.66","p"
"2007","Euro area (17 countries)","Total expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","Euro area (17 countries)","Total expenditure","Million units of national currency",":",""
"2007","Euro area (17 countries)","Total expenditure","Percentage of gross domestic product (GDP)","25.9","p"
"2007","Euro area (17 countries)","Total expenditure","Percentage of total expenditure","100.00","p"
"2007","Euro area (17 countries)","Social protection benefits","Million euro","2,309,328.33","p"
"2007","Euro area (17 countries)","Social protection benefits","Million euro (at constant 2010 prices)",":",""
"2007","Euro area (17 countries)","Social protection benefits","Euro per inhabitant","7,068.07","p"
"2007","Euro area (17 countries)","Social protection benefits","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","Euro area (17 countries)","Social protection benefits","Million units of national currency",":",""
"2007","Euro area (17 countries)","Social protection benefits","Percentage of gross domestic product (GDP)","24.7","p"
"2007","Euro area (17 countries)","Social protection benefits","Percentage of total expenditure","95.47","p"
"2007","Euro area (17 countries)","Administration costs","Million euro","84,914.52","p"
"2007","Euro area (17 countries)","Administration costs","Million euro (at constant 2010 prices)",":",""
"2007","Euro area (17 countries)","Administration costs","Euro per inhabitant","259.89","p"
"2007","Euro area (17 countries)","Administration costs","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","Euro area (17 countries)","Administration costs","Million units of national currency",":",""
"2007","Euro area (17 countries)","Administration costs","Percentage of gross domestic product (GDP)","0.9","p"
"2007","Euro area (17 countries)","Administration costs","Percentage of total expenditure","3.51","p"
"2007","Euro area (17 countries)","Other expenditure","Million euro","24,730.44","p"
"2007","Euro area (17 countries)","Other expenditure","Million euro (at constant 2010 prices)",":",""
"2007","Euro area (17 countries)","Other expenditure","Euro per inhabitant","75.69","p"
"2007","Euro area (17 countries)","Other expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","Euro area (17 countries)","Other expenditure","Million units of national currency",":",""
"2007","Euro area (17 countries)","Other expenditure","Percentage of gross domestic product (GDP)","0.3","p"
"2007","Euro area (17 countries)","Other expenditure","Percentage of total expenditure","1.02","p"
"2007","Euro area (17 countries)","Sickness/Health care","Million euro","678,000.92","p"
"2007","Euro area (17 countries)","Sickness/Health care","Million euro (at constant 2010 prices)",":",""
"2007","Euro area (17 countries)","Sickness/Health care","Euro per inhabitant","2,075.13","p"
"2007","Euro area (17 countries)","Sickness/Health care","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","Euro area (17 countries)","Sickness/Health care","Million units of national currency",":",""
"2007","Euro area (17 countries)","Sickness/Health care","Percentage of gross domestic product (GDP)","7.3","p"
"2007","Euro area (17 countries)","Sickness/Health care","Percentage of total expenditure","28.03","p"
"2007","Euro area (16 countries)","Total expenditure","Million euro","2,417,027.43","p"
"2007","Euro area (16 countries)","Total expenditure","Million euro (at constant 2010 prices)",":",""
"2007","Euro area (16 countries)","Total expenditure","Euro per inhabitant","7,428.18","p"
"2007","Euro area (16 countries)","Total expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","Euro area (16 countries)","Total expenditure","Million units of national currency",":",""
"2007","Euro area (16 countries)","Total expenditure","Percentage of gross domestic product (GDP)","25.9","p"
"2007","Euro area (16 countries)","Total expenditure","Percentage of total expenditure","100.00","p"
"2007","Euro area (16 countries)","Social protection benefits","Million euro","2,307,405.87","p"
"2007","Euro area (16 countries)","Social protection benefits","Million euro (at constant 2010 prices)",":",""
"2007","Euro area (16 countries)","Social protection benefits","Euro per inhabitant","7,091.28","p"
"2007","Euro area (16 countries)","Social protection benefits","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","Euro area (16 countries)","Social protection benefits","Million units of national currency",":",""
"2007","Euro area (16 countries)","Social protection benefits","Percentage of gross domestic product (GDP)","24.7","p"
"2007","Euro area (16 countries)","Social protection benefits","Percentage of total expenditure","95.46","p"
"2007","Euro area (16 countries)","Administration costs","Million euro","84,891.11","p"
"2007","Euro area (16 countries)","Administration costs","Million euro (at constant 2010 prices)",":",""
"2007","Euro area (16 countries)","Administration costs","Euro per inhabitant","260.89","p"
"2007","Euro area (16 countries)","Administration costs","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","Euro area (16 countries)","Administration costs","Million units of national currency",":",""
"2007","Euro area (16 countries)","Administration costs","Percentage of gross domestic product (GDP)","0.9","p"
"2007","Euro area (16 countries)","Administration costs","Percentage of total expenditure","3.51","p"
"2007","Euro area (16 countries)","Other expenditure","Million euro","24,730.44","p"
"2007","Euro area (16 countries)","Other expenditure","Million euro (at constant 2010 prices)",":",""
"2007","Euro area (16 countries)","Other expenditure","Euro per inhabitant","76.00","p"
"2007","Euro area (16 countries)","Other expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","Euro area (16 countries)","Other expenditure","Million units of national currency",":",""
"2007","Euro area (16 countries)","Other expenditure","Percentage of gross domestic product (GDP)","0.3","p"
"2007","Euro area (16 countries)","Other expenditure","Percentage of total expenditure","1.02","p"
"2007","Euro area (16 countries)","Sickness/Health care","Million euro","677,358.88","p"
"2007","Euro area (16 countries)","Sickness/Health care","Million euro (at constant 2010 prices)",":",""
"2007","Euro area (16 countries)","Sickness/Health care","Euro per inhabitant","2,081.71","p"
"2007","Euro area (16 countries)","Sickness/Health care","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","Euro area (16 countries)","Sickness/Health care","Million units of national currency",":",""
"2007","Euro area (16 countries)","Sickness/Health care","Percentage of gross domestic product (GDP)","7.3","p"
"2007","Euro area (16 countries)","Sickness/Health care","Percentage of total expenditure","28.02","p"
"2007","Euro area (15 countries)","Total expenditure","Million euro","2,408,206.27","p"
"2007","Euro area (15 countries)","Total expenditure","Million euro (at constant 2010 prices)",":",""
"2007","Euro area (15 countries)","Total expenditure","Euro per inhabitant","7,525.37","p"
"2007","Euro area (15 countries)","Total expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","Euro area (15 countries)","Total expenditure","Million units of national currency",":",""
"2007","Euro area (15 countries)","Total expenditure","Percentage of gross domestic product (GDP)","26.0","p"
"2007","Euro area (15 countries)","Total expenditure","Percentage of total expenditure","100.00","p"
"2007","Euro area (15 countries)","Social protection benefits","Million euro","2,298,928.76","p"
"2007","Euro area (15 countries)","Social protection benefits","Million euro (at constant 2010 prices)",":",""
"2007","Euro area (15 countries)","Social protection benefits","Euro per inhabitant","7,183.89","p"
"2007","Euro area (15 countries)","Social protection benefits","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","Euro area (15 countries)","Social protection benefits","Million units of national currency",":",""
"2007","Euro area (15 countries)","Social protection benefits","Percentage of gross domestic product (GDP)","24.8","p"
"2007","Euro area (15 countries)","Social protection benefits","Percentage of total expenditure","95.46","p"
"2007","Euro area (15 countries)","Administration costs","Million euro","84,547.90","p"
"2007","Euro area (15 countries)","Administration costs","Million euro (at constant 2010 prices)",":",""
"2007","Euro area (15 countries)","Administration costs","Euro per inhabitant","264.20","p"
"2007","Euro area (15 countries)","Administration costs","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","Euro area (15 countries)","Administration costs","Million units of national currency",":",""
"2007","Euro area (15 countries)","Administration costs","Percentage of gross domestic product (GDP)","0.9","p"
"2007","Euro area (15 countries)","Administration costs","Percentage of total expenditure","3.51","p"
"2007","Euro area (15 countries)","Other expenditure","Million euro","24,729.60","p"
"2007","Euro area (15 countries)","Other expenditure","Million euro (at constant 2010 prices)",":",""
"2007","Euro area (15 countries)","Other expenditure","Euro per inhabitant","77.28","p"
"2007","Euro area (15 countries)","Other expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","Euro area (15 countries)","Other expenditure","Million units of national currency",":",""
"2007","Euro area (15 countries)","Other expenditure","Percentage of gross domestic product (GDP)","0.3","p"
"2007","Euro area (15 countries)","Other expenditure","Percentage of total expenditure","1.03","p"
"2007","Euro area (15 countries)","Sickness/Health care","Million euro","674,756.06","p"
"2007","Euro area (15 countries)","Sickness/Health care","Million euro (at constant 2010 prices)",":",""
"2007","Euro area (15 countries)","Sickness/Health care","Euro per inhabitant","2,108.54","p"
"2007","Euro area (15 countries)","Sickness/Health care","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","Euro area (15 countries)","Sickness/Health care","Million units of national currency",":",""
"2007","Euro area (15 countries)","Sickness/Health care","Percentage of gross domestic product (GDP)","7.3","p"
"2007","Euro area (15 countries)","Sickness/Health care","Percentage of total expenditure","28.02","p"
"2007","Euro area (13 countries)","Total expenditure","Million euro","2,404,293.71","p"
"2007","Euro area (13 countries)","Total expenditure","Million euro (at constant 2010 prices)",":",""
"2007","Euro area (13 countries)","Total expenditure","Euro per inhabitant","7,540.81","p"
"2007","Euro area (13 countries)","Total expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","Euro area (13 countries)","Total expenditure","Million units of national currency",":",""
"2007","Euro area (13 countries)","Total expenditure","Percentage of gross domestic product (GDP)","26.0","p"
"2007","Euro area (13 countries)","Total expenditure","Percentage of total expenditure","100.00","p"
"2007","Euro area (13 countries)","Social protection benefits","Million euro","2,295,080.63","p"
"2007","Euro area (13 countries)","Social protection benefits","Million euro (at constant 2010 prices)",":",""
"2007","Euro area (13 countries)","Social protection benefits","Euro per inhabitant","7,198.27","p"
"2007","Euro area (13 countries)","Social protection benefits","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","Euro area (13 countries)","Social protection benefits","Million units of national currency",":",""
"2007","Euro area (13 countries)","Social protection benefits","Percentage of gross domestic product (GDP)","24.8","p"
"2007","Euro area (13 countries)","Social protection benefits","Percentage of total expenditure","95.46","p"
"2007","Euro area (13 countries)","Administration costs","Million euro","84,495.16","p"
"2007","Euro area (13 countries)","Administration costs","Million euro (at constant 2010 prices)",":",""
"2007","Euro area (13 countries)","Administration costs","Euro per inhabitant","265.01","p"
"2007","Euro area (13 countries)","Administration costs","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","Euro area (13 countries)","Administration costs","Million units of national currency",":",""
"2007","Euro area (13 countries)","Administration costs","Percentage of gross domestic product (GDP)","0.9","p"
"2007","Euro area (13 countries)","Administration costs","Percentage of total expenditure","3.51","p"
"2007","Euro area (13 countries)","Other expenditure","Million euro","24,717.91","p"
"2007","Euro area (13 countries)","Other expenditure","Million euro (at constant 2010 prices)",":",""
"2007","Euro area (13 countries)","Other expenditure","Euro per inhabitant","77.53","p"
"2007","Euro area (13 countries)","Other expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
