"TIME","GEO","INDIC_IL","SEX","AGE","Value","Flag and Footnotes"
"2007","Belgium","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","27.7",""
"2007","Belgium","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","28.6",""
"2007","Bulgaria","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","25.5",""
"2007","Bulgaria","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","33.9",""
"2007","Bulgaria","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","22.7",""
"2007","Bulgaria","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","27.6",""
"2007","Bulgaria","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","24.5",""
"2007","Bulgaria","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","36.2",""
"2007","Bulgaria","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","22.8",""
"2007","Bulgaria","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","18.0",""
"2007","Bulgaria","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","26.5",""
"2007","Bulgaria","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","31.6",""
"2007","Bulgaria","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","22.7",""
"2007","Bulgaria","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","34.3",""
"2007","Czech Republic","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","20.1",""
"2007","Czech Republic","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","30.8",""
"2007","Czech Republic","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","18.8",""
"2007","Czech Republic","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","12.1",""
"2007","Czech Republic","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","19.3",""
"2007","Czech Republic","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","31.4",""
"2007","Czech Republic","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","17.6",""
"2007","Czech Republic","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","8.8",""
"2007","Czech Republic","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","20.9",""
"2007","Czech Republic","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","30.1",""
"2007","Czech Republic","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","20.0",""
"2007","Czech Republic","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","14.4",""
"2007","Denmark","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","27.1",""
"2007","Denmark","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","23.9",""
"2007","Denmark","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","26.5",""
"2007","Denmark","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","34.5",""
"2007","Denmark","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","25.6",""
"2007","Denmark","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","22.8",""
"2007","Denmark","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","24.8",""
"2007","Denmark","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","34.0",""
"2007","Denmark","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","28.7",""
"2007","Denmark","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","24.9",""
"2007","Denmark","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","28.3",""
"2007","Denmark","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","34.9",""
"2007","Germany (until 1990 former territory of the FRG)","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","24.8",""
"2007","Germany (until 1990 former territory of the FRG)","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","30.4",""
"2007","Germany (until 1990 former territory of the FRG)","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","25.5",""
"2007","Germany (until 1990 former territory of the FRG)","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","17.4",""
"2007","Germany (until 1990 former territory of the FRG)","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","23.6",""
"2007","Germany (until 1990 former territory of the FRG)","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","30.5",""
"2007","Germany (until 1990 former territory of the FRG)","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","24.1",""
"2007","Germany (until 1990 former territory of the FRG)","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","14.4",""
"2007","Germany (until 1990 former territory of the FRG)","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","26.0",""
"2007","Germany (until 1990 former territory of the FRG)","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","30.2",""
"2007","Germany (until 1990 former territory of the FRG)","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","26.9",""
"2007","Germany (until 1990 former territory of the FRG)","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","20.0",""
"2007","Estonia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","25.2",""
"2007","Estonia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","28.2",""
"2007","Estonia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","21.5",""
"2007","Estonia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","35.7",""
"2007","Estonia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","22.7",""
"2007","Estonia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","28.6",""
"2007","Estonia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","20.7",""
"2007","Estonia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","22.8",""
"2007","Estonia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","27.4",""
"2007","Estonia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","27.8",""
"2007","Estonia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","22.3",""
"2007","Estonia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","42.1",""
"2007","Ireland","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","33.1",""
"2007","Ireland","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","38.9",""
"2007","Ireland","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","29.0",""
"2007","Ireland","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","41.7",""
"2007","Ireland","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","30.9",""
"2007","Ireland","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","36.5",""
"2007","Ireland","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","27.6",""
"2007","Ireland","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","36.2",""
"2007","Ireland","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","35.3",""
"2007","Ireland","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","41.5",""
"2007","Ireland","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","30.5",""
"2007","Ireland","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","46.2",""
"2007","Greece","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","23.7",""
"2007","Greece","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","27.1",""
"2007","Greece","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","21.6",""
"2007","Greece","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","28.0",""
"2007","Greece","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","22.7",""
"2007","Greece","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","27.2",""
"2007","Greece","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","21.1",""
"2007","Greece","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","24.2",""
"2007","Greece","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","24.7",""
"2007","Greece","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","27.0",""
"2007","Greece","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","22.1",""
"2007","Greece","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","31.0",""
"2007","Spain","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","23.7",""
"2007","Spain","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","30.5",""
"2007","Spain","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","20.7",""
"2007","Spain","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","28.7",""
"2007","Spain","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","22.6",""
"2007","Spain","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","30.2",""
"2007","Spain","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","19.7",""
"2007","Spain","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","26.4",""
"2007","Spain","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","24.8",""
"2007","Spain","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","30.7",""
"2007","Spain","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","21.6",""
"2007","Spain","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","30.4",""
"2007","France","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","26.4",""
"2007","France","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","36.9",""
"2007","France","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","24.8",""
"2007","France","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","17.1",""
"2007","France","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","26.0",""
"2007","France","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","37.2",""
"2007","France","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","23.8",""
"2007","France","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","15.5",""
"2007","France","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","26.8",""
"2007","France","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","36.5",""
"2007","France","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","25.7",""
"2007","France","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","18.4",""
"2007","Croatia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Total",":",""
"2007","Croatia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years",":",""
"2007","Croatia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years",":",""
"2007","Croatia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over",":",""
"2007","Croatia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Total",":",""
"2007","Croatia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years",":",""
"2007","Croatia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years",":",""
"2007","Croatia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over",":",""
"2007","Croatia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Total",":",""
"2007","Croatia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years",":",""
"2007","Croatia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years",":",""
"2007","Croatia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over",":",""
"2007","Italy","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","23.7",""
"2007","Italy","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","31.1",""
"2007","Italy","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","21.5",""
"2007","Italy","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","24.1",""
"2007","Italy","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","22.4",""
"2007","Italy","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","31.6",""
"2007","Italy","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","20.2",""
"2007","Italy","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","20.2",""
"2007","Italy","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","24.9",""
"2007","Italy","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","30.5",""
"2007","Italy","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","22.7",""
"2007","Italy","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","26.8",""
"2007","Cyprus","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","21.0",""
"2007","Cyprus","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","19.9",""
"2007","Cyprus","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","15.3",""
"2007","Cyprus","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","54.4",""
"2007","Cyprus","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","19.1",""
"2007","Cyprus","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","21.4",""
"2007","Cyprus","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","13.2",""
"2007","Cyprus","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","49.5",""
"2007","Cyprus","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","22.8",""
"2007","Cyprus","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","18.4",""
"2007","Cyprus","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","17.3",""
"2007","Cyprus","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","58.6",""
"2007","Latvia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","27.5",""
"2007","Latvia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","29.6",""
"2007","Latvia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","23.7",""
"2007","Latvia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","38.8",""
"2007","Latvia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","24.6",""
"2007","Latvia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","29.2",""
"2007","Latvia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","22.5",""
"2007","Latvia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","28.0",""
"2007","Latvia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","29.9",""
"2007","Latvia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","30.0",""
"2007","Latvia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","24.9",""
"2007","Latvia","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","44.0",""
"2007","Lithuania","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","25.5",""
