"TIME","GEO","UNIT","INDIC_IL","SEX","AGE","Value","Flag and Footnotes"
"2007","Belgium","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","11.8",""
"2007","Belgium","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","20.5",""
"2007","Belgium","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","15.9",""
"2007","Belgium","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","15.8",""
"2007","Belgium","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","13.3",""
"2007","Belgium","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","24.8",""
"2007","Bulgaria","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","22.0",""
"2007","Bulgaria","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","29.9",""
"2007","Bulgaria","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","19.4",""
"2007","Bulgaria","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","23.9",""
"2007","Bulgaria","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","20.9",""
"2007","Bulgaria","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","31.9",""
"2007","Bulgaria","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","19.1",""
"2007","Bulgaria","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","15.3",""
"2007","Bulgaria","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","23.0",""
"2007","Bulgaria","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","27.9",""
"2007","Bulgaria","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","19.6",""
"2007","Bulgaria","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","30.0",""
"2007","Czech Republic","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","9.6",""
"2007","Czech Republic","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","16.6",""
"2007","Czech Republic","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","8.6",""
"2007","Czech Republic","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","5.5",""
"2007","Czech Republic","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","8.7",""
"2007","Czech Republic","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","16.2",""
"2007","Czech Republic","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","7.7",""
"2007","Czech Republic","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","2.0",""
"2007","Czech Republic","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","10.5",""
"2007","Czech Republic","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","17.0",""
"2007","Czech Republic","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","9.4",""
"2007","Czech Republic","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","7.9",""
"2007","Denmark","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","11.7",""
"2007","Denmark","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","9.6",""
"2007","Denmark","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","10.9",""
"2007","Denmark","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","17.7",""
"2007","Denmark","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","11.3",""
"2007","Denmark","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","9.2",""
"2007","Denmark","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","11.0",""
"2007","Denmark","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","16.5",""
"2007","Denmark","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","12.0",""
"2007","Denmark","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","10.0",""
"2007","Denmark","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","10.9",""
"2007","Denmark","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","18.6",""
"2007","Germany (until 1990 former territory of the FRG)","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","15.2",""
"2007","Germany (until 1990 former territory of the FRG)","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","14.1",""
"2007","Germany (until 1990 former territory of the FRG)","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","15.2",""
"2007","Germany (until 1990 former territory of the FRG)","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","16.2",""
"2007","Germany (until 1990 former territory of the FRG)","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","14.1",""
"2007","Germany (until 1990 former territory of the FRG)","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","14.9",""
"2007","Germany (until 1990 former territory of the FRG)","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","14.1",""
"2007","Germany (until 1990 former territory of the FRG)","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","13.0",""
"2007","Germany (until 1990 former territory of the FRG)","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","16.3",""
"2007","Germany (until 1990 former territory of the FRG)","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","13.0",""
"2007","Germany (until 1990 former territory of the FRG)","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","16.2",""
"2007","Germany (until 1990 former territory of the FRG)","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","19.0",""
"2007","Estonia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","19.4",""
"2007","Estonia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","18.2",""
"2007","Estonia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","16.1",""
"2007","Estonia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","33.2",""
"2007","Estonia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","16.7",""
"2007","Estonia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","18.4",""
"2007","Estonia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","15.4",""
"2007","Estonia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","20.7",""
"2007","Estonia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","21.7",""
"2007","Estonia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","17.9",""
"2007","Estonia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","16.8",""
"2007","Estonia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","39.4",""
"2007","Ireland","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","17.2",""
"2007","Ireland","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","19.2",""
"2007","Ireland","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","14.4",""
"2007","Ireland","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","28.3",""
"2007","Ireland","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","16.0",""
"2007","Ireland","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","18.6",""
"2007","Ireland","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","13.7",""
"2007","Ireland","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","23.6",""
"2007","Ireland","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","18.5",""
"2007","Ireland","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","19.9",""
"2007","Ireland","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","15.2",""
"2007","Ireland","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","32.2",""
"2007","Greece","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","20.3",""
"2007","Greece","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","23.3",""
"2007","Greece","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","18.7",""
"2007","Greece","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","22.9",""
"2007","Greece","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","19.6",""
"2007","Greece","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","23.7",""
"2007","Greece","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","18.1",""
"2007","Greece","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","20.8",""
"2007","Greece","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","20.9",""
"2007","Greece","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","22.9",""
"2007","Greece","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","19.2",""
"2007","Greece","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","24.7",""
"2007","Spain","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","19.7",""
"2007","Spain","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","26.2",""
"2007","Spain","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","16.4",""
"2007","Spain","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","26.1",""
"2007","Spain","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","18.6",""
"2007","Spain","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","26.5",""
"2007","Spain","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","15.5",""
"2007","Spain","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","23.7",""
"2007","Spain","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","20.8",""
"2007","Spain","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","25.9",""
"2007","Spain","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","17.4",""
"2007","Spain","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","27.9",""
"2007","France","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","13.1",""
"2007","France","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","15.3",""
"2007","France","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","12.3",""
"2007","France","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","13.1",""
"2007","France","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","12.8",""
"2007","France","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","15.8",""
"2007","France","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","11.9",""
"2007","France","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","12.1",""
"2007","France","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","13.4",""
"2007","France","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","14.8",""
"2007","France","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","12.8",""
"2007","France","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","13.9",""
"2007","Croatia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Total",":",""
"2007","Croatia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years",":",""
"2007","Croatia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years",":",""
"2007","Croatia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over",":",""
"2007","Croatia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Total",":",""
"2007","Croatia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years",":",""
"2007","Croatia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years",":",""
"2007","Croatia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over",":",""
"2007","Croatia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Total",":",""
"2007","Croatia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years",":",""
"2007","Croatia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years",":",""
"2007","Croatia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over",":",""
"2007","Italy","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","19.5",""
"2007","Italy","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","24.6",""
"2007","Italy","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","17.2",""
"2007","Italy","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","22.2",""
"2007","Italy","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","18.1",""
"2007","Italy","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","25.4",""
"2007","Italy","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","15.9",""
"2007","Italy","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","18.3",""
"2007","Italy","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","20.9",""
"2007","Italy","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","23.7",""
"2007","Italy","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","18.6",""
"2007","Italy","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","25.0",""
"2007","Cyprus","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","15.5",""
"2007","Cyprus","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","12.4",""
"2007","Cyprus","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","10.1",""
"2007","Cyprus","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","50.6",""
"2007","Cyprus","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","13.5",""
"2007","Cyprus","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","12.7",""
"2007","Cyprus","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","8.2",""
"2007","Cyprus","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","46.3",""
"2007","Cyprus","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","17.4",""
"2007","Cyprus","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","12.0",""
"2007","Cyprus","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","12.0",""
"2007","Cyprus","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","54.3",""
"2007","Latvia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","21.2",""
"2007","Latvia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","19.8",""
"2007","Latvia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","17.7",""
"2007","Latvia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","35.6",""
"2007","Latvia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","18.7",""
"2007","Latvia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","20.2",""
"2007","Latvia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","17.0",""
"2007","Latvia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","25.3",""
"2007","Latvia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","23.4",""
"2007","Latvia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","19.5",""
"2007","Latvia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","18.4",""
"2007","Latvia","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","40.6",""
"2007","Lithuania","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","19.1",""
"2007","Lithuania","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","22.1",""
"2007","Lithuania","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","15.6",""
"2007","Lithuania","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","29.8",""
"2007","Lithuania","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","16.7",""
"2007","Lithuania","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","22.2",""
"2007","Lithuania","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","15.1",""
"2007","Lithuania","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","15.2",""
"2007","Lithuania","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","21.2",""
"2007","Lithuania","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","22.1",""
"2007","Lithuania","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","16.1",""
"2007","Lithuania","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","37.3",""
"2007","Luxembourg","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","13.5",""
"2007","Luxembourg","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","19.9",""
"2007","Luxembourg","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","12.7",""
"2007","Luxembourg","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","7.2",""
"2007","Luxembourg","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","12.9",""
"2007","Luxembourg","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","18.5",""
"2007","Luxembourg","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","12.1",""
"2007","Luxembourg","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","6.6",""
"2007","Luxembourg","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","14.1",""
"2007","Luxembourg","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","21.3",""
"2007","Luxembourg","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years","13.3",""
"2007","Luxembourg","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over","7.7",""
"2007","Hungary","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","12.3",""
"2007","Hungary","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","18.8",""
"2007","Hungary","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","11.6",""
"2007","Hungary","Percentage of total population","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","6.1",""
